station_id,name,archetype,base_cycle_time_ms,cycle_time_std_ms,buffer_capacity,sensor_coverage
S01,Body Infeed,AUTOMATED,36000,3600,0,HIGH
S02,Underbody Weld,AUTOMATED,39000,3900,4,HIGH
S03,Floor Pan Weld,AUTOMATED,41000,4100,4,HIGH
S04,Side Frame Weld,AUTOMATED,43000,4730,4,PARTIAL
S05,Roof Fit,AUTOMATED,44000,4400,4,HIGH
S06,Weld Verification,AUTOMATED,40000,4000,4,HIGH
S07,Door Aperture Weld,AUTOMATED,45000,5400,4,HIGH
S08,Manual Seam Dress,MANUAL,58000,10440,2,NONE
S09,Body Geometry Scan,AUTOMATED,42000,4200,4,PARTIAL
S10,Pre-Paint Inspection,INSPECTION,52000,6240,3,PARTIAL
S11,Sealer Apply,AUTOMATED,40000,4000,4,HIGH
S12,Legacy Alignment A,AUTOMATED,46000,5520,3,HIGH
S13,Legacy Alignment Manual,MANUAL,62000,12400,2,NONE
S14,Legacy Alignment B,AUTOMATED,48000,5760,3,PARTIAL
S15,Legacy Alignment C,AUTOMATED,45000,5400,3,HIGH
S16,E-Coat Load,AUTOMATED,41000,4100,4,HIGH
S17,E-Coat Bake,AUTOMATED,55000,5500,4,HIGH
S18,Manual Surface Check,MANUAL,60000,10800,2,NONE
S19,Primer Spray,AUTOMATED,43000,4300,4,HIGH
S20,Topcoat Spray,AUTOMATED,45000,4950,4,HIGH
S21,Paint Inspection,INSPECTION,54000,6480,3,PARTIAL
S22,Glass Install,AUTOMATED,43000,4300,4,HIGH
S23,Instrument Install,AUTOMATED,46000,5520,4,HIGH
S24,Manual Trim Fit,MANUAL,62000,11160,2,NONE
S25,Seat Install,AUTOMATED,44000,4400,4,HIGH
S26,Wheel Install,AUTOMATED,42000,4200,4,HIGH
S27,Fluid Fill,AUTOMATED,43000,4300,4,PARTIAL
S28,Electrical Test,AUTOMATED,48000,5760,4,HIGH
S29,Dynamic Test,AUTOMATED,50000,6000,4,HIGH
S30,Final Audit,MANUAL,58000,9280,2,NONE
S31,End-of-Line Inspection,INSPECTION,52000,6240,3,PARTIAL
S32,Vehicle Dispatch,AUTOMATED,35000,2800,4,PARTIAL
